Makespan,TEC,Pareto,Execution Time
2457,144.64,True,2.099229097366333
2409,148.28,True,2.099229097366333
2385,149.84,True,2.099229097366333
2384,152.56,True,2.099229097366333
2368,154.04,True,2.099229097366333
2362,154.12,True,2.099229097366333
2313,154.92,True,2.099229097366333
2303,157.56,True,2.099229097366333
2290,170.72,True,2.099229097366333
2258,172.4,True,2.099229097366333
2222,173.84,True,2.099229097366333
2196,174.88,True,2.099229097366333
2142,177.04,True,2.099229097366333
2133,177.64,True,2.099229097366333
2117,181.2,True,2.099229097366333
2110,187.08,True,2.099229097366333
2090,187.88,True,2.099229097366333
2047,204.04,True,2.099229097366333
1221,204.4,True,2.099229097366333
1178,205.64,True,2.099229097366333
1171,212.88,True,2.099229097366333
1168,216.32,True,2.099229097366333
1153,217.92,True,2.099229097366333
1147,218.4,True,2.099229097366333
1137,219.64,True,2.099229097366333
1131,219.68,True,2.099229097366333
1126,220.08,True,2.099229097366333
1123,220.64,True,2.099229097366333
1114,221.84,True,2.099229097366333
1107,222.68,True,2.099229097366333
1083,226.76,True,2.099229097366333
1075,228.2,True,2.099229097366333
1074,228.56,True,2.099229097366333
1071,229.16,True,2.099229097366333
1068,230.48,True,2.099229097366333
1060,230.52,True,2.099229097366333
1054,230.56,True,2.099229097366333
1043,230.88,True,2.099229097366333
1009,231.76,True,2.099229097366333
993,233.4,True,2.099229097366333
987,234.96,True,2.099229097366333
984,237.04,True,2.099229097366333
979,237.2,True,2.099229097366333
977,237.8,True,2.099229097366333
967,237.88,True,2.099229097366333
961,239.36,True,2.099229097366333
934,239.44,True,2.099229097366333
913,240.36,True,2.099229097366333
912,244.76,True,2.099229097366333
891,248.28,True,2.099229097366333
882,248.32,True,2.099229097366333
875,250.12,True,2.099229097366333
858,251.84,True,2.099229097366333
846,255.08,True,2.099229097366333
842,255.12,True,2.099229097366333
835,255.56,True,2.099229097366333
829,255.76,True,2.099229097366333
827,256.84,True,2.099229097366333
826,257.0,True,2.099229097366333
824,257.2,True,2.099229097366333
820,257.44,True,2.099229097366333
818,257.68,True,2.099229097366333
812,258.32,True,2.099229097366333
808,259.16,True,2.099229097366333
806,259.64,True,2.099229097366333
805,259.72,True,2.099229097366333
801,260.04,True,2.099229097366333
789,260.68,True,2.099229097366333
781,261.32,True,2.099229097366333
778,262.44,True,2.099229097366333
776,262.64,True,2.099229097366333
757,263.4,True,2.099229097366333
2439,144.48,True,0.8793914318084717
2409,148.4,True,0.8793914318084717
2406,150.08,True,0.8793914318084717
2397,150.44,True,0.8793914318084717
2373,152.92,True,0.8793914318084717
2333,154.68,True,0.8793914318084717
2315,160.48,True,0.8793914318084717
2309,170.28,True,0.8793914318084717
2272,171.2,True,0.8793914318084717
2237,171.92,True,0.8793914318084717
2210,176.8,True,0.8793914318084717
2190,180.0,True,0.8793914318084717
2153,181.92,True,0.8793914318084717
2113,182.36,True,0.8793914318084717
2108,182.6,True,0.8793914318084717
2099,182.92,True,0.8793914318084717
2089,184.88,True,0.8793914318084717
2087,185.4,True,0.8793914318084717
1280,199.28,True,0.8793914318084717
1276,213.6,True,0.8793914318084717
1229,214.12,True,0.8793914318084717
1183,216.72,True,0.8793914318084717
1149,223.6,True,0.8793914318084717
1146,223.88,True,0.8793914318084717
1100,224.8,True,0.8793914318084717
1086,227.0,True,0.8793914318084717
1043,233.8,True,0.8793914318084717
1024,239.76,True,0.8793914318084717
1015,242.08,True,0.8793914318084717
987,244.24,True,0.8793914318084717
984,246.88,True,0.8793914318084717
962,247.2,True,0.8793914318084717
920,253.56,True,0.8793914318084717
874,255.48,True,0.8793914318084717
867,257.88,True,0.8793914318084717
859,258.56,True,0.8793914318084717
855,258.72,True,0.8793914318084717
843,259.2,True,0.8793914318084717
