Makespan,TEC,Pareto,Execution Time
2568,740.04,True,3.459883213043213
2557,790.64,True,3.459883213043213
2535,823.52,True,3.459883213043213
2530,836.76,True,3.459883213043213
2525,838.32,True,3.459883213043213
2507,841.52,True,3.459883213043213
2503,843.6,True,3.459883213043213
2497,845.48,True,3.459883213043213
2483,846.6,True,3.459883213043213
2478,847.56,True,3.459883213043213
2470,849.88,True,3.459883213043213
2466,854.6,True,3.459883213043213
2453,856.88,True,3.459883213043213
2440,860.96,True,3.459883213043213
2436,866.04,True,3.459883213043213
2377,867.88,True,3.459883213043213
2368,882.0,True,3.459883213043213
2358,882.32,True,3.459883213043213
2357,884.8,True,3.459883213043213
2341,888.16,True,3.459883213043213
2339,888.88,True,3.459883213043213
2331,895.08,True,3.459883213043213
2312,899.04,True,3.459883213043213
2311,901.2,True,3.459883213043213
2310,905.48,True,3.459883213043213
2304,906.32,True,3.459883213043213
2301,906.72,True,3.459883213043213
2284,907.52,True,3.459883213043213
2283,909.24,True,3.459883213043213
2282,909.52,True,3.459883213043213
2275,911.16,True,3.459883213043213
2268,915.56,True,3.459883213043213
2258,917.16,True,3.459883213043213
2252,917.2,True,3.459883213043213
2249,920.12,True,3.459883213043213
2245,921.48,True,3.459883213043213
2233,924.64,True,3.459883213043213
2222,924.8,True,3.459883213043213
2217,925.48,True,3.459883213043213
2206,930.76,True,3.459883213043213
2204,933.04,True,3.459883213043213
2193,933.76,True,3.459883213043213
2192,937.28,True,3.459883213043213
2190,938.04,True,3.459883213043213
2178,938.96,True,3.459883213043213
2172,939.64,True,3.459883213043213
2171,939.68,True,3.459883213043213
2169,942.16,True,3.459883213043213
2167,944.36,True,3.459883213043213
2162,944.56,True,3.459883213043213
2149,945.08,True,3.459883213043213
2140,948.0,True,3.459883213043213
2135,951.16,True,3.459883213043213
2133,952.04,True,3.459883213043213
2122,953.0,True,3.459883213043213
2120,955.36,True,3.459883213043213
2116,958.12,True,3.459883213043213
2107,959.04,True,3.459883213043213
2104,959.6,True,3.459883213043213
2098,960.28,True,3.459883213043213
2094,963.0,True,3.459883213043213
2090,964.28,True,3.459883213043213
2086,964.48,True,3.459883213043213
2083,965.16,True,3.459883213043213
2079,969.12,True,3.459883213043213
2075,969.6,True,3.459883213043213
2069,970.0,True,3.459883213043213
2055,970.8,True,3.459883213043213
2054,972.72,True,3.459883213043213
2051,972.8,True,3.459883213043213
2039,975.4,True,3.459883213043213
2038,975.72,True,3.459883213043213
2031,975.96,True,3.459883213043213
2028,979.04,True,3.459883213043213
2024,980.28,True,3.459883213043213
2023,980.36,True,3.459883213043213
2019,980.48,True,3.459883213043213
2018,980.8,True,3.459883213043213
2012,980.84,True,3.459883213043213
