Makespan,TEC,Pareto,Execution Time
7084,283.92,True,3.9392683506011963
6889,325.96,True,3.9392683506011963
6859,335.2,True,3.9392683506011963
6630,348.8,True,3.9392683506011963
6549,357.96,True,3.9392683506011963
6532,361.24,True,3.9392683506011963
6520,399.32,True,3.9392683506011963
6433,407.32,True,3.9392683506011963
6343,422.64,True,3.9392683506011963
6329,461.72,True,3.9392683506011963
6254,468.24,True,3.9392683506011963
6190,486.4,True,3.9392683506011963
6155,496.56,True,3.9392683506011963
5761,519.16,True,3.9392683506011963
5571,543.16,True,3.9392683506011963
5447,555.36,True,3.9392683506011963
5368,563.32,True,3.9392683506011963
4765,566.8,True,3.9392683506011963
3312,614.0,True,3.9392683506011963
3214,614.56,True,3.9392683506011963
3052,615.72,True,3.9392683506011963
2993,619.12,True,3.9392683506011963
2970,620.32,True,3.9392683506011963
2968,628.56,True,3.9392683506011963
2925,630.72,True,3.9392683506011963
2907,632.92,True,3.9392683506011963
2855,633.56,True,3.9392683506011963
2802,639.44,True,3.9392683506011963
2775,640.72,True,3.9392683506011963
2728,642.32,True,3.9392683506011963
2725,646.6,True,3.9392683506011963
2697,647.32,True,3.9392683506011963
2680,649.36,True,3.9392683506011963
2663,652.32,True,3.9392683506011963
2629,657.44,True,3.9392683506011963
2609,660.04,True,3.9392683506011963
2599,664.6,True,3.9392683506011963
2587,666.56,True,3.9392683506011963
2555,667.6,True,3.9392683506011963
2554,672.76,True,3.9392683506011963
2511,674.12,True,3.9392683506011963
2481,676.48,True,3.9392683506011963
2471,684.04,True,3.9392683506011963
2432,686.92,True,3.9392683506011963
2417,690.32,True,3.9392683506011963
2382,694.52,True,3.9392683506011963
2373,696.88,True,3.9392683506011963
2348,697.28,True,3.9392683506011963
2325,704.76,True,3.9392683506011963
2318,706.08,True,3.9392683506011963
2295,707.6,True,3.9392683506011963
2267,709.84,True,3.9392683506011963
2257,712.0,True,3.9392683506011963
2225,714.84,True,3.9392683506011963
2212,717.64,True,3.9392683506011963
2192,723.8,True,3.9392683506011963
2166,724.64,True,3.9392683506011963
2154,727.32,True,3.9392683506011963
2125,728.44,True,3.9392683506011963
2112,729.2,True,3.9392683506011963
2100,732.36,True,3.9392683506011963
2056,735.48,True,3.9392683506011963
2053,738.08,True,3.9392683506011963
2000,741.96,True,3.9392683506011963
1998,748.48,True,3.9392683506011963
1993,748.52,True,3.9392683506011963
1983,749.08,True,3.9392683506011963
1971,749.28,True,3.9392683506011963
1951,753.04,True,3.9392683506011963
1918,754.08,True,3.9392683506011963
1898,756.92,True,3.9392683506011963
1896,757.64,True,3.9392683506011963
1894,757.76,True,3.9392683506011963
1890,758.4,True,3.9392683506011963
1889,758.84,True,3.9392683506011963
1884,759.36,True,3.9392683506011963
1879,759.4,True,3.9392683506011963
1876,761.32,True,3.9392683506011963
1866,762.08,True,3.9392683506011963
1863,762.2,True,3.9392683506011963
1853,762.6,True,3.9392683506011963
1850,763.32,True,3.9392683506011963
1846,764.08,True,3.9392683506011963
1844,764.24,True,3.9392683506011963
1842,764.4,True,3.9392683506011963
1840,764.56,True,3.9392683506011963
1835,764.68,True,3.9392683506011963
1829,765.2,True,3.9392683506011963
1827,766.08,True,3.9392683506011963
1824,766.28,True,3.9392683506011963
1816,766.36,True,3.9392683506011963
1809,767.2,True,3.9392683506011963
1807,767.52,True,3.9392683506011963
1804,767.64,True,3.9392683506011963
1798,767.88,True,3.9392683506011963
1795,768.0,True,3.9392683506011963
1794,768.4,True,3.9392683506011963
